domain_ID,domain_name,cookies_default,cookies_dont,cookies_ninja,cookies_accepted,clicked,location,first_parties
1,google.com,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, False, True, False, False, False, False, True, False, False, False, True, False, False, False, False, True, True, True, False, False, False, True, False, False, True, True, True, True, False, False, False, False, True, False, False, True, False, False, False, True, False, False, True, True, False, False, True, True, True, True, True, True, True, True, False, False, False, True, False, False, True, False, False, True, True, False, False, False, True, False, False, True, False, False, False, True, False, False, True, True, True, True, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, True, False, False, False, True, False, False, True, True, False, False, True, False, False, False, True, False, False, False, True, True, True, False, True, True, False, False, True, False, False, False, True, False, False, True, False, True, True, False, False, False, True, False, False, True, False, False, False, True, False, False, False, True]"
2,youtube.com,2,2,2,0,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
3,tmall.com,0,0,0,0,False,"['US', 'US', 'US', 'CN', 'CN', 'US', 'US', 'CN', 'US', 'US', 'US', 'US', 'ES', 'US', 'US', 'US', 'CN', 'US', 'US', 'CN', 'US', 'US', 'US', 'US', 'US', 'CN', 'CN']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
4,facebook.com,0,0,0,0,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'IE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'IE', 'IE', 'US', 'IE', 'IE']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, False, False, False, False, True]"
5,qq.com,0,0,0,0,False,['JP'],[True]
6,baidu.com,1,1,1,1,False,"['HK', 'HK']","[False, False]"
8,login.tmall.com,1,1,1,1,False,[],[]
10,yahoo.com,0,2,2,1,True,"['GB', 'GB', 'DE']","[True, True, False]"
13,wikipedia.org,1,1,1,1,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[False, False, False, False, False, False, False, False]"
14,amazon.com,2,2,4,2,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'IE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'IE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, False, False, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, False, False, False, False, False, True, True, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, True, True, True]"
15,weibo.com,1,3,3,3,False,[],[]
17,pages.tmall.com,0,0,0,0,False,"['US', 'US', 'CN']","[False, False, False]"
24,netflix.com,1,1,1,1,True,"['IE', 'IE', 'IE', 'IE', 'IE']","[True, True, True, True, True]"
30,instagram.com,0,0,0,0,True,"['IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, True, False, False, True]"
31,alipay.com,1,1,1,1,False,"['CN', 'CN', 'US']","[True, False, False]"
32,bing.com,2,1,2,2,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'IE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]"
34,google.com.hk,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
35,microsoft.com,3,3,3,5,True,"['IE', 'IE', 'DE', 'US', 'DE', 'ES', 'DE', 'ES', 'US', 'IE', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'IE']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
36,naver.com,1,1,1,1,False,[],[]
39,stackoverflow.com,1,1,1,1,False,['US'],[False]
40,aliexpress.com,1,3,1,1,False,[],[]
41,china.com.cn,2,2,2,2,False,[],[]
43,google.co.in,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
49,msn.com,1,1,1,6,True,"['US', 'US', 'IE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, True, False, False, False, False, False, False, False, True]"
51,myshopify.com,1,1,1,1,False,['CA'],[False]
52,yandex.ru,1,1,1,1,True,"['RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU']","[True, False, False, True, True, False, True, False, False, False, True, True, True, True, True, False, False, False, False, False, False, False]"
54,pornhub.com,3,1,3,4,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[False, False, False, False, True, True, False]"
55,amazon.in,3,5,3,4,False,"['ES', 'IE', 'ES', 'ES', 'IE', 'ES', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'ES', 'ES', 'IE']","[True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
56,apple.com,2,1,2,2,False,"['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'FR', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']","[True, False, False, True, False, True, True, False, False, True, False, True, True, False, True, False, True, False, True, False, False, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True]"
58,adobe.com,1,1,1,1,False,"['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'IE', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'IE', 'ES', 'IE']","[True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, True]"
60,mail.ru,5,3,5,1,True,"['RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU', 'RU']","[False, False, False, False, True, False, False, False, True]"
61,huanqiu.com,0,0,0,0,False,[],[]
62,wordpress.com,2,2,1,2,False,[],[]
63,soso.com,1,1,1,1,False,"['SG', 'SG', 'CN', 'SG', 'SG', 'SG', 'SG']","[True, False, False, False, False, False, False]"
64,imdb.com,3,3,3,3,False,[],[]
65,google.com.br,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
66,google.co.jp,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
68,trello.com,1,1,2,2,True,"['DE', 'US', 'DE', 'DE', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'DE', 'US']","[True, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False]"
70,cnn.com,4,4,6,20,True,"['US', 'FR', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'FR', 'US', 'FR', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'FR', 'US', 'US', 'US', 'US', 'FR', 'US', 'US', 'FR', 'FR', 'US', 'US', 'US', 'FR', 'FR', 'FR', 'FR', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'FR', 'US', 'GB', 'US', 'FR', 'US', 'US', 'US', 'US']","[True, False, True, True, False, True, True, True, True, True, True, False, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, False, True, True, False, False, True, True, True, False, False, False, False, False, True, True, True, True, True, True, True, True, False, True, False, False, False, True, False, True, False]"
73,detail.tmall.com,0,0,0,0,False,[],[]
74,medium.com,1,1,1,2,False,[],[]
75,spotify.com,1,1,1,5,True,"['US', 'US', 'US', 'US', 'US']","[True, False, True, True, False]"
76,xvideos.com,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, True, False, False, False]"
77,booking.com,3,2,3,5,True,"['NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL', 'NL']","[True, True, True, True, False, True, True, True, True, True]"
79,sindonews.com,6,6,6,5,False,"['ID', 'ID']","[True, True]"
82,bilibili.com,0,0,0,0,False,[],[]
83,sogou.com,1,1,1,1,False,['SG'],[False]
87,soundcloud.com,1,1,1,2,True,"['US', 'US', 'US', 'US']","[False, False, False, False]"
88,amazon.co.uk,2,2,2,4,True,"['IE', 'US', 'US', 'IE', 'IE', 'IE', 'IE', 'IE', 'US', 'US', 'IE', 'IE', 'IE', 'IE']","[False, False, False, False, False, True, False, False, False, True, False, False, False, False]"
89,so.com,1,1,2,1,False,"['SG', 'SG', 'CN', 'SG', 'SG', 'SG', 'SG', 'US', 'CN', 'CN', 'CN']","[True, False, False, False, False, False, False, True, False, False, False]"
90,github.com,1,1,1,2,True,"['US', 'US', 'US', 'US', 'US']","[True, True, False, False, True]"
92,google.it,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
94,whatsapp.com,0,0,0,0,False,"['IE', 'IE']","[True, True]"
95,google.ru,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
96,google.de,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
97,amazon.de,2,2,2,3,False,"['ES', 'ES', 'IE', 'IE', 'IE', 'IE', 'IE', 'ES', 'IE', 'ES', 'IE', 'IE', 'IE']","[False, False, False, False, True, False, False, False, False, True, False, False, False]"
98,google.fr,1,1,1,2,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, True, False, False]"
99,indeed.com,1,1,1,3,True,"['GB', 'GB', 'GB', 'GB', 'US', 'GB', 'GB', 'GB', 'GB', 'GB']","[True, True, False, True, False, True, True, False, False, True]"
100,imgur.com,1,1,1,1,True,"['GB', 'GB', 'GB', 'GB', 'GB', 'GB', 'GB', 'GB', 'GB']","[False, False, False, False, False, False, False, False, False]"
102,pixnet.net,2,2,2,2,False,[],[]
103,xhamster.com,1,1,1,1,True,"['US', 'NL', 'US', 'US', 'US', 'US']","[True, False, True, False, False, True]"
104,onlinesbi.com,1,1,1,1,False,[],[]
107,freepik.com,1,1,1,1,True,"['FR', 'FR', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'FR', 'FR', 'US', 'US', 'US', 'US', 'US', 'FR']","[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False]"
108,paypal.com,1,1,1,1,True,"['US', 'US']","[True, True]"
109,hotstar.com,1,1,1,1,False,"['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']","[False, False, False, False, False, False, False]"
110,google.es,1,1,1,1,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]"
111,thestartmagazine.com,0,0,0,0,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'GB']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False]"
113,intuit.com,2,1,4,2,False,"['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'IE', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'US', 'US', 'ES', 'IE', 'US', 'ES', 'US', 'US', 'ES', 'US', 'US']","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False]"
114,stackexchange.com,0,0,0,0,False,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, True, True, True, True, True, True, False]"
115,bbc.co.uk,1,2,2,0,True,"['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'IE', 'US']","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False]"
117,gmw.cn,0,0,0,0,False,[],[]
120,grid.id,1,1,1,2,False,[],[]
122,fandom.com,1,2,2,2,False,[],[]
124,espn.com,3,3,3,5,True,[],[]
125,shutterstock.com,2,1,3,3,True,"['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
126,wetransfer.com,2,2,2,2,True,"['IE', 'IE', 'IE', 'IE', 'IE', 'IE', 'US']","[True, False, True, False, True, True, False]"
127,cricbuzz.com,1,1,1,1,True,"['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
128,theguardian.com,2,2,2,3,True,"['US', 'IE', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","[True, False, False, True, True, False, False, False, False]"
