country,perNotAccept
US,64.11694032839407
IE,51.010101010101
DE,83.9907192575406
CN,99.71428571428571
HK,100.0
FR,58.288770053475936
ES,71.19380430676237
GB,84.50920245398773
CZ,70.58823529411765
JP,39.88095238095239
NL,93.15476190476191
KR,99.14529914529915
SG,100.0
RU,90.37267080745342
CA,100.0
CH,100.0
IR,100.0
ID,100.0
TW,100.0
IN,91.66666666666666
BR,6.666666666666667
AG,100.0
AT,100.0
IL,53.1578947368421
PT,100.0
LU,100.0
TR,100.0
UA,100.0
LV,100.0
FI,100.0
MX,100.0
AE,100.0
SK,100.0
IT,100.0
RS,100.0
SE,100.0
VE,100.0
PL,100.0
AU,0.0
DK,0.0
