country,perNotAccept
US,12.403455575261743
IE,11.868686868686869
DE,29.00232018561485
CN,3.1428571428571432
HK,8.108108108108109
FR,0.53475935828877
ES,16.773706082357386
GB,5.98159509202454
CZ,52.94117647058824
JP,0.5952380952380952
NL,12.5
KR,4.700854700854701
SG,10.144927536231885
RU,34.161490683229815
CA,0.5988023952095809
CH,0
IR,20.930232558139537
ID,13.636363636363635
TW,38.23529411764706
IN,34.166666666666664
BR,0.0
AG,0
AT,0
IL,23.684210526315788
PT,0
LU,0
TR,43.47826086956522
UA,8.695652173913043
LV,0
FI,0
MX,0
AE,0
SK,0
IT,0
RS,0
SE,50.0
VE,1.9157088122605364
PL,34.84848484848485
AU,0
DK,0.0
