country,perNotAccept
US,51.713484753132335
IE,39.141414141414145
DE,54.988399071925755
CN,96.57142857142857
HK,91.8918918918919
FR,57.75401069518716
ES,54.42009822440499
GB,78.52760736196319
CZ,17.647058823529413
JP,39.285714285714285
NL,80.65476190476191
KR,94.44444444444444
SG,89.85507246376811
RU,56.2111801242236
CA,99.40119760479041
CH,100.0
IR,79.06976744186046
ID,86.36363636363636
TW,61.76470588235294
IN,57.49999999999999
BR,6.666666666666667
AG,100.0
AT,100.0
IL,29.47368421052631
PT,100.0
LU,100.0
TR,56.52173913043478
UA,91.30434782608695
LV,100.0
FI,100.0
MX,100.0
AE,100.0
SK,100.0
IT,100.0
RS,100.0
SE,50.0
VE,98.08429118773945
PL,65.15151515151516
AU,0.0
DK,0
